accession,body_site,table_id,version,n_samples,n_taxa,status,ts
MGYS00006780,stool,ERP160119_taxonomy_abundances_SSU_v5.0.tsv,5.0,26,88,ok,2026-08-22T22:24:43
MGYS00002265,oral,SRP050196_taxonomy_abundances_SSU_v4.1.tsv,4.1,26,193,ok,2026-08-22T22:24:44
MGYS00006361,respiratory,SRP302813_taxonomy_abundances_SSU_v5.0.tsv,5.0,26,610,ok,2026-08-22T22:24:45
MGYS00006289,respiratory,SRP230853_taxonomy_abundances_SSU_v5.0.tsv,5.0,25,1882,ok,2026-08-22T22:24:46
MGYS00006333,stool,SRP219421_taxonomy_abundances_SSU_v5.0.tsv,5.0,26,131,ok,2026-08-22T22:24:47
MGYS00006498,respiratory,SRP124904_taxonomy_abundances_SSU_v5.0.tsv,5.0,26,202,ok,2026-08-22T22:25:43
MGYS00002248,oral,SRP034724_taxonomy_abundances_SSU_v4.1.tsv,4.1,26,391,ok,2026-08-22T22:25:44
MGYS00004708,respiratory,ERP114688_taxonomy_abundances_SSU_v4.1.tsv,4.1,25,286,ok,2026-08-22T22:25:45
MGYS00006475,respiratory,DRP007146_taxonomy_abundances_SSU_v5.0.tsv,5.0,25,338,ok,2026-08-22T22:25:46
MGYS00006315,oral,ERP141372_taxonomy_abundances_SSU_v5.0.tsv,5.0,25,69,ok,2026-08-22T22:25:47
MGYS00000352,stool,ERP005196_taxonomy_abundances_v1.0.tsv,1.0,25,57,ok,2026-08-22T22:58:38
MGYS00006470,respiratory,SRP100072_taxonomy_abundances_SSU_v5.0.tsv,5.0,24,230,ok,2026-08-22T22:58:39
MGYS00003480,stool,ERP108070_taxonomy_abundances_SSU_v4.1.tsv,4.1,48,115,ok,2026-08-22T22:58:40
MGYS00006444,respiratory,SRP324096_taxonomy_abundances_SSU_v5.0.tsv,5.0,24,1646,ok,2026-08-22T22:58:41
MGYS00000412,stool,ERP007044_taxonomy_abundances_v1.0.tsv,1.0,24,119,ok,2026-08-22T22:58:42
MGYS00002675,oral,ERP107102_taxonomy_abundances_SSU_v5.0.tsv,5.0,24,86,ok,2026-08-22T22:59:38
MGYS00002359,oral,ERP005514_taxonomy_abundances_SSU_v4.1.tsv,4.1,19,487,ok,2026-08-22T22:59:39
MGYS00002220,oral,SRP044345_taxonomy_abundances_SSU_v4.1.tsv,4.1,24,715,ok,2026-08-22T22:59:40
MGYS00003475,stool,SRP118697_taxonomy_abundances_SSU_v4.1.tsv,4.1,24,1464,ok,2026-08-22T22:59:41
MGYS00005813,oral,ERP127558_taxonomy_abundances_SSU_v5.0.tsv,5.0,24,88,ok,2026-08-22T22:59:42
MGYS00002225,oral,SRP079075_taxonomy_abundances_SSU_v4.1.tsv,4.1,24,1058,ok,2026-08-22T23:00:38
MGYS00000394,stool,ERP005558_taxonomy_abundances_v1.0.tsv,1.0,24,145,ok,2026-08-22T23:00:39
MGYS00006431,stool,SRP442920_taxonomy_abundances_SSU_v5.0.tsv,5.0,24,311,ok,2026-08-22T23:00:40
MGYS00006366,oral,ERP141374_taxonomy_abundances_SSU_v5.0.tsv,5.0,23,78,ok,2026-08-22T23:00:41
MGYS00005814,oral,,,0,0,no_ssu_table,2026-08-22T23:00:42
MGYS00006616,oral,ERP142304_taxonomy_abundances_SSU_v5.0.tsv,5.0,23,190,ok,2026-08-22T23:00:42
MGYS00002285,respiratory,ERP106941_taxonomy_abundances_SSU_v4.1.tsv,4.1,23,2238,ok,2026-08-22T23:01:39
MGYS00000553,respiratory,ERP012221_taxonomy_abundances_SSU_v4.0.tsv,4.0,18,4351,ok,2026-08-22T23:01:40
MGYS00002215,oral,SRP010933_taxonomy_abundances_SSU_v4.1.tsv,4.1,23,479,ok,2026-08-22T23:01:41
MGYS00006307,oral,ERP141367_taxonomy_abundances_SSU_v5.0.tsv,5.0,22,146,ok,2026-08-22T23:01:42
MGYS00001623,stool,ERP021734_taxonomy_abundances_v3.0.tsv,3.0,1,33,ok,2026-08-22T23:01:43
MGYS00005359,stool,,,0,0,no_ssu_table,2026-08-22T23:02:38
MGYS00006349,respiratory,SRP282897_taxonomy_abundances_SSU_v5.0.tsv,5.0,22,152,ok,2026-08-22T23:02:39
MGYS00001983,stool,ERP104044_taxonomy_abundances_SSU_v4.1.tsv,4.1,109,104,ok,2026-08-22T23:02:40
MGYS00002159,oral,SRP110002_taxonomy_abundances_SSU_v4.1.tsv,4.1,21,2205,ok,2026-08-22T23:02:41
MGYS00002226,oral,SRP075956_taxonomy_abundances_SSU_v4.1.tsv,4.1,21,893,ok,2026-08-22T23:02:42
MGYS00003719,oral,SRP125475_taxonomy_abundances_SSU_v4.1.tsv,4.1,21,648,ok,2026-08-22T23:03:38
MGYS00006102,stool,ERP140636_taxonomy_abundances_SSU_v5.0.tsv,5.0,21,82,ok,2026-08-22T23:03:39
MGYS00006373,respiratory,SRP311710_taxonomy_abundances_SSU_v5.0.tsv,5.0,21,243,ok,2026-08-22T23:03:40
MGYS00006343,respiratory,SRP270071_taxonomy_abundances_SSU_v5.0.tsv,5.0,12,41,ok,2026-08-22T23:03:41
MGYS00005390,stool,ERP114141_taxonomy_abundances_SSU_v4.1.tsv,4.1,21,121,ok,2026-08-22T23:03:42
MGYS00006649,oral,ERP131993_taxonomy_abundances_SSU_v5.0.tsv,5.0,20,96,ok,2026-08-22T23:04:38
MGYS00006627,urogenital,ERP138373_taxonomy_abundances_SSU_v5.0.tsv,5.0,20,78,ok,2026-08-22T23:04:39
MGYS00002221,oral,SRP047310_taxonomy_abundances_SSU_v4.1.tsv,4.1,20,833,ok,2026-08-22T23:04:40
MGYS00002394,oral,SRP051741_taxonomy_abundances_SSU_v4.1.tsv,4.1,20,505,ok,2026-08-22T23:04:41
MGYS00005391,stool,,,0,0,no_ssu_table,2026-08-22T23:04:42
MGYS00005131,stool,ERP118234_taxonomy_abundances_SSU_v4.1.tsv,4.1,20,1490,ok,2026-08-22T23:04:42
MGYS00003510,stool,ERP108939_taxonomy_abundances_SSU_v4.1.tsv,4.1,26,122,ok,2026-08-22T23:05:39
MGYS00006420,respiratory,SRP395591_taxonomy_abundances_SSU_v5.0.tsv,5.0,19,532,ok,2026-08-22T23:05:40
MGYS00000277,stool,SRP002423_taxonomy_abundances_v1.0.tsv,1.0,19,68,ok,2026-08-22T23:05:41
MGYS00001213,stool,SRP073516_taxonomy_abundances_v3.0.tsv,3.0,15,49,ok,2026-08-22T23:05:42
MGYS00002241,oral,ERP014011_taxonomy_abundances_SSU_v4.1.tsv,4.1,18,204,ok,2026-08-22T23:05:43
MGYS00001695,respiratory,ERP010088_taxonomy_abundances_v3.0.tsv,3.0,18,547,ok,2026-08-22T23:06:39
MGYS00006504,respiratory,SRP153115_taxonomy_abundances_SSU_v5.0.tsv,5.0,18,600,ok,2026-08-22T23:06:40
MGYS00005583,stool,SRP017459_taxonomy_abundances_SSU_v5.0.tsv,5.0,18,241,ok,2026-08-22T23:06:41
MGYS00005124,urogenital,ERP117955_taxonomy_abundances_SSU_v4.1.tsv,4.1,18,327,ok,2026-08-22T23:06:42
MGYS00006639,oral,ERP141819_taxonomy_abundances_SSU_v5.0.tsv,5.0,18,136,ok,2026-08-22T23:06:43
MGYS00002231,oral,SRP047405_taxonomy_abundances_SSU_v4.1.tsv,4.1,17,1207,ok,2026-08-22T23:07:38
MGYS00002228,oral,SRP107375_taxonomy_abundances_SSU_v4.1.tsv,4.1,17,830,ok,2026-08-22T23:07:40
MGYS00000278,stool,SRP002437_taxonomy_abundances_v1.0.tsv,1.0,16,47,ok,2026-08-22T23:07:40
MGYS00005388,stool,ERP114147_taxonomy_abundances_SSU_v4.1.tsv,4.1,17,132,ok,2026-08-22T23:07:42
MGYS00005347,stool,,,0,0,no_ssu_table,2026-08-22T23:07:43
MGYS00006467,respiratory,SRP095188_taxonomy_abundances_SSU_v5.0.tsv,5.0,17,423,ok,2026-08-22T23:08:37
MGYS00006768,respiratory,ERP159773_taxonomy_abundances_SSU_v5.0.tsv,5.0,17,30,ok,2026-08-22T23:08:39
MGYS00006528,respiratory,,,0,0,no_ssu_table,2026-08-22T23:08:40
MGYS00000258,stool,SRP000319_taxonomy_abundances_v1.0.tsv,1.0,16,74,ok,2026-08-22T23:08:40
MGYS00005445,stool,ERP113995_taxonomy_abundances_SSU_v4.1.tsv,4.1,11,9,ok,2026-08-22T23:08:41
MGYS00006008,stool,ERP136476_taxonomy_abundances_SSU_v5.0.tsv,5.0,16,38,ok,2026-08-22T23:08:42
MGYS00005109,skin,ERP116743_taxonomy_abundances_SSU_v4.1.tsv,4.1,16,35,ok,2026-08-22T23:09:39
MGYS00005389,stool,,,0,0,no_ssu_table,2026-08-22T23:09:40
MGYS00006474,respiratory,SRP118537_taxonomy_abundances_SSU_v5.0.tsv,5.0,16,601,ok,2026-08-22T23:09:40
MGYS00006388,respiratory,SRP336614_taxonomy_abundances_SSU_v5.0.tsv,5.0,16,526,ok,2026-08-22T23:09:41
MGYS00006445,respiratory,SRP386315_taxonomy_abundances_SSU_v5.0.tsv,5.0,16,834,ok,2026-08-22T23:09:42
MGYS00005730,stool,ERP125908_taxonomy_abundances_SSU_v5.0.tsv,5.0,31,374,ok,2026-08-22T23:10:38
MGYS00006265,respiratory,ERP115773_taxonomy_abundances_SSU_v5.0.tsv,5.0,15,417,ok,2026-08-22T23:10:39
MGYS00005657,stool,ERP124921_taxonomy_abundances_SSU_v5.0.tsv,5.0,37,78,ok,2026-08-22T23:10:40
MGYS00002309,stool,ERP106171_taxonomy_abundances_SSU_v4.1.tsv,4.1,22,39,ok,2026-08-22T23:10:41
MGYS00002339,stool,,,0,0,no_ssu_table,2026-08-22T23:10:42
MGYS00001442,stool,ERP021080_taxonomy_abundances_v3.0.tsv,3.0,37,441,ok,2026-08-22T23:10:42
MGYS00005446,stool,,,0,0,no_ssu_table,2026-08-22T23:11:39
MGYS00000500,stool,ERP008562_taxonomy_abundances_v2.0.tsv,2.0,15,142,ok,2026-08-22T23:11:39
MGYS00006465,respiratory,SRP082546_taxonomy_abundances_SSU_v5.0.tsv,5.0,15,1092,ok,2026-08-22T23:11:40
MGYS00002685,stool,ERP107088_taxonomy_abundances_SSU_v4.1.tsv,4.1,15,102,ok,2026-08-22T23:11:41
MGYS00001208,stool,ERP016968_taxonomy_abundances_v3.0.tsv,3.0,15,471,ok,2026-08-22T23:11:42
MGYS00005125,urogenital,ERP117698_taxonomy_abundances_SSU_v4.1.tsv,4.1,15,169,ok,2026-08-22T23:29:29
MGYS00002186,oral,SRP033022_taxonomy_abundances_SSU_v4.1.tsv,4.1,14,456,ok,2026-08-22T23:29:30
MGYS00006459,respiratory,SRP070848_taxonomy_abundances_SSU_v5.0.tsv,5.0,14,429,ok,2026-08-22T23:29:31
MGYS00001187,skin,ERP016629_taxonomy_abundances_v3.0.tsv,3.0,14,727,ok,2026-08-22T23:29:32
MGYS00002073,respiratory,ERP105190_taxonomy_abundances_SSU_v5.0.tsv,5.0,14,540,ok,2026-08-22T23:29:33
MGYS00001300,oral,SRP038999_taxonomy_abundances_SSU_v4.1.tsv,4.1,14,264,ok,2026-08-22T23:30:28
MGYS00002176,oral,SRP106728_taxonomy_abundances_SSU_v4.1.tsv,4.1,14,877,ok,2026-08-22T23:30:29
MGYS00006317,respiratory,SRP041604_taxonomy_abundances_SSU_v5.0.tsv,5.0,2,4,ok,2026-08-22T23:30:30
MGYS00005762,stool,ERP127786_taxonomy_abundances_SSU_v5.0.tsv,5.0,14,147,ok,2026-08-22T23:30:31
MGYS00006328,respiratory,,,0,0,no_ssu_table,2026-08-22T23:30:32
MGYS00001313,stool,ERP019785_taxonomy_abundances_v3.0.tsv,3.0,7,157,ok,2026-08-22T23:30:33
MGYS00006296,respiratory,SRP038106_taxonomy_abundances_SSU_v5.0.tsv,5.0,13,269,ok,2026-08-22T23:31:29
MGYS00001581,stool,ERP021966_taxonomy_abundances_v3.0.tsv,3.0,13,224,ok,2026-08-22T23:31:30
MGYS00005763,stool,,,0,0,no_ssu_table,2026-08-22T23:31:31
MGYS00002236,oral,SRP049918_taxonomy_abundances_SSU_v4.1.tsv,4.1,12,378,ok,2026-08-22T23:31:31
MGYS00000294,stool,ERP001038_taxonomy_abundances_v1.0.tsv,1.0,12,45,ok,2026-08-22T23:31:32
MGYS00006009,skin,ERP135925_taxonomy_abundances_SSU_v5.0.tsv,5.0,12,2,ok,2026-08-22T23:32:28
MGYS00006462,respiratory,SRP079737_taxonomy_abundances_SSU_v5.0.tsv,5.0,12,611,ok,2026-08-22T23:32:29
MGYS00000304,stool,ERP001506_taxonomy_abundances_v2.0.tsv,2.0,24,203,ok,2026-08-22T23:32:30
MGYS00006844,stool,ERP177070_taxonomy_abundances_SSU_v5.0.tsv,5.0,12,86,ok,2026-08-22T23:32:31
MGYS00002214,oral,SRP009440_taxonomy_abundances_SSU_v4.1.tsv,4.1,12,352,ok,2026-08-22T23:32:32
MGYS00003143,stool,ERP110944_taxonomy_abundances_SSU_v4.1.tsv,4.1,12,602,ok,2026-08-22T23:33:28
MGYS00002690,stool,ERP106629_taxonomy_abundances_SSU_v4.1.tsv,4.1,29,102,ok,2026-08-22T23:33:29
MGYS00006629,urogenital,ERP138409_taxonomy_abundances_SSU_v5.0.tsv,5.0,10,1,ok,2026-08-22T23:33:30
MGYS00002249,oral,SRP038908_taxonomy_abundances_SSU_v4.1.tsv,4.1,11,976,ok,2026-08-22T23:33:31
MGYS00003367,stool,ERP108860_taxonomy_abundances_SSU_v4.1.tsv,4.1,16,115,ok,2026-08-22T23:33:32
MGYS00000518,skin,ERP011339_taxonomy_abundances_v2.0.tsv,2.0,10,400,ok,2026-08-22T23:34:28
MGYS00002150,oral,SRP071254_taxonomy_abundances_SSU_v4.1.tsv,4.1,10,571,ok,2026-08-22T23:34:29
MGYS00001868,stool,ERP023746_taxonomy_abundances_v3.0.tsv,3.0,10,41,ok,2026-08-22T23:34:30
MGYS00006617,oral,ERP141871_taxonomy_abundances_SSU_v5.0.tsv,5.0,10,144,ok,2026-08-22T23:34:31
MGYS00005393,stool,ERP116113_taxonomy_abundances_SSU_v4.1.tsv,4.1,7,4,ok,2026-08-22T23:34:32
MGYS00006505,respiratory,SRP154991_taxonomy_abundances_SSU_v5.0.tsv,5.0,10,587,ok,2026-08-22T23:35:28
MGYS00001308,stool,ERP019639_taxonomy_abundances_v3.0.tsv,3.0,10,14,ok,2026-08-22T23:35:30
MGYS00001342,stool,ERP020191_taxonomy_abundances_v3.0.tsv,3.0,10,591,ok,2026-08-22T23:35:31
MGYS00001626,stool,ERP019673_taxonomy_abundances_v3.0.tsv,3.0,10,411,ok,2026-08-22T23:35:32
MGYS00002261,oral,SRP044888_taxonomy_abundances_SSU_v4.1.tsv,4.1,10,800,ok,2026-08-22T23:35:33
MGYS00003580,stool,ERP108128_taxonomy_abundances_SSU_v4.1.tsv,4.1,10,124,ok,2026-08-22T23:36:28
MGYS00002274,oral,SRP080750_taxonomy_abundances_SSU_v4.1.tsv,4.1,10,348,ok,2026-08-22T23:36:29
MGYS00003576,stool,ERP108137_taxonomy_abundances_SSU_v4.1.tsv,4.1,10,115,ok,2026-08-22T23:36:30
MGYS00006313,oral,ERP138652_taxonomy_abundances_SSU_v5.0.tsv,5.0,9,134,ok,2026-08-22T23:36:31
MGYS00003577,stool,ERP108135_taxonomy_abundances_SSU_v4.1.tsv,4.1,9,84,ok,2026-08-22T23:36:32
MGYS00005812,oral,ERP127599_taxonomy_abundances_SSU_v5.0.tsv,5.0,9,84,ok,2026-08-22T23:37:28
MGYS00002245,oral,ERP004595_taxonomy_abundances_SSU_v4.1.tsv,4.1,9,73,ok,2026-08-22T23:37:29
MGYS00001908,stool,ERP024356_taxonomy_abundances_v3.0.tsv,3.0,9,178,ok,2026-08-22T23:37:30
MGYS00005394,stool,,,0,0,no_ssu_table,2026-08-22T23:37:31
MGYS00001211,stool,SRP076746_taxonomy_abundances_SSU_v5.0.tsv,5.0,16,696,ok,2026-08-22T23:37:31
MGYS00003191,stool,SRP041283_taxonomy_abundances_SSU_v4.1.tsv,4.1,16,278,ok,2026-08-22T23:37:33
MGYS00000523,respiratory,ERP006952_taxonomy_abundances_v2.0.tsv,2.0,7,203,ok,2026-08-22T23:38:29
MGYS00006630,urogenital,ERP138865_taxonomy_abundances_SSU_v5.0.tsv,5.0,8,39,ok,2026-08-22T23:38:30
MGYS00005808,stool,ERP127602_taxonomy_abundances_SSU_v5.0.tsv,5.0,8,77,ok,2026-08-22T23:38:31
MGYS00002046,stool,ERP104210_taxonomy_abundances_SSU_v4.1.tsv,4.1,8,70,ok,2026-08-22T23:38:32
MGYS00001481,oral,ERP021171_taxonomy_abundances_SSU_v4.1.tsv,4.1,8,179,ok,2026-08-22T23:38:33
MGYS00005809,stool,,,0,0,no_ssu_table,2026-08-22T23:39:29
MGYS00002687,stool,ERP106630_taxonomy_abundances_SSU_v4.1.tsv,4.1,18,109,ok,2026-08-22T23:39:30
MGYS00002331,stool,ERP106358_taxonomy_abundances_SSU_v4.1.tsv,4.1,6,69,ok,2026-08-22T23:39:31
MGYS00002218,oral,SRP028356_taxonomy_abundances_SSU_v4.1.tsv,4.1,6,224,ok,2026-08-22T23:39:31
MGYS00005768,stool,,,0,0,no_ssu_table,2026-08-22T23:39:32
MGYS00000367,stool,ERP004846_taxonomy_abundances_v1.0.tsv,1.0,6,107,ok,2026-08-22T23:39:33
MGYS00005767,stool,ERP129398_taxonomy_abundances_SSU_v5.0.tsv,5.0,5,31,ok,2026-08-22T23:40:29
MGYS00006849,stool,ERP166188_taxonomy_abundances_SSU_v5.0.tsv,5.0,6,72,ok,2026-08-22T23:40:30
MGYS00005107,stool,,,0,0,download_failed,2026-08-22T23:40:31
MGYS00002149,oral,SRP047474_taxonomy_abundances_SSU_v4.1.tsv,4.1,6,237,ok,2026-08-22T23:41:36
MGYS00003203,oral,ERP108075_taxonomy_abundances_SSU_v4.1.tsv,4.1,5,17,ok,2026-08-22T23:41:37
MGYS00002406,respiratory,ERP109119_taxonomy_abundances_SSU_v4.1.tsv,4.1,4,221,ok,2026-08-22T23:41:38
MGYS00001708,stool,ERP022631_taxonomy_abundances_v3.0.tsv,3.0,4,458,ok,2026-08-22T23:41:38
MGYS00006310,urogenital,ERP139914_taxonomy_abundances_SSU_v5.0.tsv,5.0,4,13,ok,2026-08-22T23:41:39
MGYS00005793,stool,ERP127968_taxonomy_abundances_SSU_v5.0.tsv,5.0,4,76,ok,2026-08-22T23:57:40
MGYS00005655,oral,,,0,0,no_ssu_table,2026-08-22T23:57:40
MGYS00000489,stool,ERP006091_taxonomy_abundances_v1.0.tsv,1.0,8,71,ok,2026-08-22T23:57:41
MGYS00002268,oral,SRP058400_taxonomy_abundances_SSU_v4.1.tsv,4.1,4,505,ok,2026-08-22T23:57:41
MGYS00006377,respiratory,,,0,0,no_ssu_table,2026-08-22T23:57:42
MGYS00006376,respiratory,SRP315330_taxonomy_abundances_SSU_v5.0.tsv,5.0,4,417,ok,2026-08-22T23:57:43
MGYS00001960,stool,ERP104539_taxonomy_abundances_SSU_v4.0.tsv,4.0,4,2309,ok,2026-08-22T23:58:40
MGYS00005652,oral,ERP124518_taxonomy_abundances_SSU_v5.0.tsv,5.0,4,20,ok,2026-08-22T23:58:41
MGYS00005651,oral,ERP124374_taxonomy_abundances_SSU_v5.0.tsv,5.0,7,51,ok,2026-08-22T23:58:42
MGYS00001315,stool,ERP019890_taxonomy_abundances_v3.0.tsv,3.0,4,775,ok,2026-08-22T23:58:43
MGYS00001184,stool,ERP016615_taxonomy_abundances_v3.0.tsv,3.0,3,257,ok,2026-08-22T23:58:43
MGYS00002227,oral,SRP050159_taxonomy_abundances_SSU_v4.1.tsv,4.1,3,202,ok,2026-08-22T23:59:40
MGYS00005339,stool,,,0,0,no_ssu_table,2026-08-22T23:59:41
MGYS00006306,oral,ERP138650_taxonomy_abundances_SSU_v5.0.tsv,5.0,3,39,ok,2026-08-22T23:59:41
MGYS00000585,stool,ERP013496_taxonomy_abundances_v2.0.tsv,2.0,3,42,ok,2026-08-22T23:59:42
MGYS00005729,stool,ERP126326_taxonomy_abundances_SSU_v5.0.tsv,5.0,5,96,ok,2026-08-22T23:59:43
MGYS00006493,respiratory,SRP016840_taxonomy_abundances_SSU_v5.0.tsv,5.0,3,124,ok,2026-08-22T23:59:44
MGYS00005794,stool,,,0,0,no_ssu_table,2026-08-23T00:00:41
MGYS00001991,stool,ERP104944_taxonomy_abundances_SSU_v4.0.tsv,4.0,3,308,ok,2026-08-23T00:00:41
MGYS00003199,stool,ERP107087_taxonomy_abundances_SSU_v4.1.tsv,4.1,3,34,ok,2026-08-23T00:00:42
MGYS00005656,oral,,,0,0,no_ssu_table,2026-08-23T00:00:42
MGYS00001893,stool,ERP018622_taxonomy_abundances_v3.0.tsv,3.0,2,228,ok,2026-08-23T00:00:43
MGYS00005356,stool,,,0,0,no_ssu_table,2026-08-23T00:00:44
MGYS00001779,respiratory,ERP023074_taxonomy_abundances_v3.0.tsv,3.0,2,115,ok,2026-08-23T00:01:39
MGYS00002057,stool,ERP104230_taxonomy_abundances_SSU_v4.1.tsv,4.1,2,21,ok,2026-08-23T00:01:41
MGYS00002276,oral,SRP108107_taxonomy_abundances_SSU_v4.1.tsv,4.1,2,559,ok,2026-08-23T00:01:42
MGYS00001887,stool,ERP023970_taxonomy_abundances_v3.0.tsv,3.0,2,298,ok,2026-08-23T00:01:43
MGYS00001892,stool,SRP001709_taxonomy_abundances_v1.0.tsv,1.0,2,55,ok,2026-08-23T00:01:44
MGYS00002180,respiratory,ERP106323_taxonomy_abundances_SSU_v4.1.tsv,4.1,2,70,ok,2026-08-23T00:02:40
MGYS00002052,stool,ERP104223_taxonomy_abundances_SSU_v4.1.tsv,4.1,2,21,ok,2026-08-23T00:02:41
MGYS00002024,stool,ERP104182_taxonomy_abundances_SSU_v5.0.tsv,5.0,3,60,ok,2026-08-23T00:02:42
MGYS00000456,stool,ERP009244_taxonomy_abundances_v1.0.tsv,1.0,2,96,ok,2026-08-23T00:02:42
MGYS00001249,stool,SRP066323_taxonomy_abundances_v3.0.tsv,3.0,152,260,ok,2026-08-23T00:02:43
MGYS00000543,stool,ERP012163_taxonomy_abundances_v2.0.tsv,2.0,2,243,ok,2026-08-23T00:03:40
MGYS00002262,oral,SRP045295_taxonomy_abundances_SSU_v4.1.tsv,4.1,2,518,ok,2026-08-23T00:03:41
MGYS00006425,respiratory,SRP421082_taxonomy_abundances_SSU_v5.0.tsv,5.0,46,1113,ok,2026-08-23T00:03:42
MGYS00006441,respiratory,SRP149996_taxonomy_abundances_SSU_v5.0.tsv,5.0,20,41,ok,2026-08-23T00:03:43
MGYS00006440,respiratory,SRP070932_taxonomy_abundances_SSU_v5.0.tsv,5.0,1,875,ok,2026-08-23T00:03:44
MGYS00000506,oral,ERP011513_taxonomy_abundances_v2.0.tsv,2.0,1,108,ok,2026-08-23T00:04:40
MGYS00003204,oral,ERP108076_taxonomy_abundances_SSU_v4.1.tsv,4.1,1,2,ok,2026-08-23T00:04:41
MGYS00006293,respiratory,SRP035600_taxonomy_abundances_SSU_v5.0.tsv,5.0,1,461,ok,2026-08-23T00:04:42
MGYS00000507,oral,ERP011523_taxonomy_abundances_v2.0.tsv,2.0,1,266,ok,2026-08-23T00:04:43
MGYS00002147,oral,SRP022233_taxonomy_abundances_SSU_v4.1.tsv,4.1,2,911,ok,2026-08-23T00:04:44
MGYS00000319,stool,ERP002222_taxonomy_abundances_v1.0.tsv,1.0,1,91,ok,2026-08-23T00:05:40
MGYS00000306,stool,ERP001596_taxonomy_abundances_v1.0.tsv,1.0,1,10,ok,2026-08-23T00:05:41
MGYS00006309,urogenital,ERP138646_taxonomy_abundances_SSU_v5.0.tsv,5.0,1,8,ok,2026-08-23T00:05:42
MGYS00000564,stool,ERP012953_taxonomy_abundances_v2.0.tsv,2.0,1,215,ok,2026-08-23T00:05:43
MGYS00006823,stool,ERP148566_taxonomy_abundances_SSU_v5.0.tsv,5.0,54,193,ok,2026-08-23T00:05:44
MGYS00005193,respiratory,SRP096974_taxonomy_abundances_SSU_v4.1.tsv,4.1,1106,1894,ok,2026-08-23T00:06:40
MGYS00006818,stool,ERP148312_taxonomy_abundances_SSU_v5.0.tsv,5.0,44,201,ok,2026-08-23T00:06:42
MGYS00006523,respiratory,,,0,0,no_ssu_table,2026-08-23T00:06:42
MGYS00002021,stool,ERP104072_taxonomy_abundances_SSU_v4.1.tsv,4.1,18,22,ok,2026-08-23T00:06:42
MGYS00002171,oral,SRP040947_taxonomy_abundances_SSU_v4.1.tsv,4.1,1,978,ok,2026-08-23T00:06:43
MGYS00005299,skin,SRP214545_taxonomy_abundances_SSU_v5.0.tsv,5.0,511,1856,ok,2026-08-23T00:06:44
MGYS00002172,oral,SRP049665_taxonomy_abundances_SSU_v4.1.tsv,4.1,3,280,ok,2026-08-23T00:07:41
MGYS00000520,skin,ERP011525_taxonomy_abundances_v2.0.tsv,2.0,2,204,ok,2026-08-23T00:07:42
MGYS00002270,oral,SRP067717_taxonomy_abundances_SSU_v4.1.tsv,4.1,1,482,ok,2026-08-23T00:07:43
MGYS00003135,stool,ERP002465_taxonomy_abundances_SSU_v4.1.tsv,4.1,2,640,ok,2026-08-23T00:07:43
MGYS00002027,stool,ERP104186_taxonomy_abundances_SSU_v4.1.tsv,4.1,1,29,ok,2026-08-23T00:07:44
MGYS00001301,oral,SRP058372_taxonomy_abundances_SSU_v4.1.tsv,4.1,1,537,ok,2026-08-23T00:08:41
MGYS00001299,oral,SRP022894_taxonomy_abundances_v3.0.tsv,3.0,1,282,ok,2026-08-23T00:08:42
MGYS00002056,stool,ERP104228_taxonomy_abundances_SSU_v4.1.tsv,4.1,1,86,ok,2026-08-23T00:08:42
MGYS00001185,respiratory,SRP012449_taxonomy_abundances_v3.0.tsv,3.0,2,296,ok,2026-08-23T00:08:43
MGYS00001137,respiratory,ERP016183_taxonomy_abundances_v2.0.tsv,2.0,1,238,ok,2026-08-23T00:08:44
MGYS00006314,oral,ERP141227_taxonomy_abundances_SSU_v5.0.tsv,5.0,29,84,ok,2026-08-23T00:09:41
MGYS00006316,oral,ERP141402_taxonomy_abundances_SSU_v5.0.tsv,5.0,1,36,ok,2026-08-23T00:09:42
MGYS00000432,stool,ERP008885_taxonomy_abundances_v1.0.tsv,1.0,1,2,ok,2026-08-23T00:09:42
MGYS00005979,stool,,,0,0,no_ssu_table,2026-08-23T00:09:43
MGYS00002260,oral,SRP043625_taxonomy_abundances_SSU_v4.1.tsv,4.1,1,344,ok,2026-08-23T00:09:43
MGYS00002257,oral,SRP041078_taxonomy_abundances_SSU_v4.1.tsv,4.1,1,342,ok,2026-08-23T00:10:40
MGYS00005529,stool,SRP132034_taxonomy_abundances_SSU_v4.1.tsv,4.1,582,1690,ok,2026-08-23T00:10:41
MGYS00006457,respiratory,SRP011201_taxonomy_abundances_SSU_v5.0.tsv,5.0,4,529,ok,2026-08-23T00:10:42
MGYS00002239,oral,ERP015528_taxonomy_abundances_SSU_v4.1.tsv,4.1,1,98,ok,2026-08-23T00:10:43
MGYS00002258,oral,SRP041092_taxonomy_abundances_SSU_v4.1.tsv,4.1,1,1431,ok,2026-08-23T00:10:44
MGYS00002170,oral,SRP040945_taxonomy_abundances_SSU_v4.1.tsv,4.1,1,1315,ok,2026-08-23T00:11:40
MGYS00006455,respiratory,SRP392201_taxonomy_abundances_SSU_v5.0.tsv,5.0,77,1271,ok,2026-08-23T00:11:41
MGYS00001493,stool,SRP012558_taxonomy_abundances_v3.0.tsv,3.0,18,397,ok,2026-08-23T00:11:42
MGYS00006510,respiratory,SRP175099_taxonomy_abundances_SSU_v5.0.tsv,5.0,43,639,ok,2026-08-23T00:11:43
