accession,body_site,table_id,version,n_samples,n_taxa,status,ts
MGYS00002395,oral,SRP123221_taxonomy_abundances_SSU_v4.1.tsv,4.1,68,897,ok,2026-08-22T21:39:09
MGYS00006365,oral,ERP141370_taxonomy_abundances_SSU_v5.0.tsv,5.0,67,169,ok,2026-08-22T21:39:11
MGYS00006815,stool,ERP147808_taxonomy_abundances_SSU_v5.0.tsv,5.0,67,191,ok,2026-08-22T21:40:06
MGYS00006375,respiratory,SRP314488_taxonomy_abundances_SSU_v5.0.tsv,5.0,373,483,ok,2026-08-22T21:40:07
MGYS00006403,respiratory,SRP368119_taxonomy_abundances_SSU_v5.0.tsv,5.0,67,1949,ok,2026-08-22T21:40:08
MGYS00006226,stool,SRP343296_taxonomy_abundances_SSU_v5.0.tsv,5.0,67,409,ok,2026-08-22T21:40:09
MGYS00006308,urogenital,ERP140580_taxonomy_abundances_SSU_v5.0.tsv,5.0,66,134,ok,2026-08-22T21:40:10
MGYS00002356,oral,DRP003793_taxonomy_abundances_SSU_v4.1.tsv,4.1,66,564,ok,2026-08-22T21:41:07
MGYS00002353,oral,DRP002880_taxonomy_abundances_SSU_v4.1.tsv,4.1,66,376,ok,2026-08-22T21:41:08
MGYS00006350,respiratory,SRP284518_taxonomy_abundances_SSU_v5.0.tsv,5.0,66,1321,ok,2026-08-22T21:41:09
MGYS00006327,respiratory,SRP043676_taxonomy_abundances_SSU_v5.0.tsv,5.0,65,1019,ok,2026-08-22T21:41:10
MGYS00006631,oral,ERP150573_taxonomy_abundances_SSU_v5.0.tsv,5.0,65,304,ok,2026-08-22T21:41:10
MGYS00005795,stool,ERP128033_taxonomy_abundances_SSU_v5.0.tsv,5.0,64,232,ok,2026-08-22T21:42:07
MGYS00003346,stool,ERP108481_taxonomy_abundances_SSU_v4.1.tsv,4.1,63,132,ok,2026-08-22T21:42:08
MGYS00006494,respiratory,SRP025173_taxonomy_abundances_SSU_v5.0.tsv,5.0,63,516,ok,2026-08-22T21:42:09
MGYS00002354,oral,DRP002882_taxonomy_abundances_SSU_v4.1.tsv,4.1,63,338,ok,2026-08-22T21:42:10
MGYS00006500,respiratory,SRP132446_taxonomy_abundances_SSU_v5.0.tsv,5.0,32,266,ok,2026-08-22T21:42:11
MGYS00006468,respiratory,SRP095245_taxonomy_abundances_SSU_v5.0.tsv,5.0,62,1077,ok,2026-08-22T21:43:07
MGYS00003479,stool,ERP106673_taxonomy_abundances_SSU_v4.1.tsv,4.1,62,264,ok,2026-08-22T21:43:08
MGYS00002362,oral,,,0,0,download_failed,2026-08-22T21:43:09
MGYS00005594,stool,SRP276112_taxonomy_abundances_SSU_v5.0.tsv,5.0,61,1213,ok,2026-08-22T21:44:13
MGYS00005411,stool,ERP116015_taxonomy_abundances_SSU_v4.1.tsv,4.1,59,122,ok,2026-08-22T21:44:13
MGYS00006807,stool,ERP170897_taxonomy_abundances_SSU_v5.0.tsv,5.0,60,229,ok,2026-08-22T21:44:14
MGYS00002587,oral,ERP109049_taxonomy_abundances_SSU_v4.1.tsv,4.1,60,961,ok,2026-08-22T21:44:15
MGYS00006508,respiratory,SRP171599_taxonomy_abundances_SSU_v5.0.tsv,5.0,60,615,ok,2026-08-22T21:44:16
MGYS00005412,stool,,,0,0,no_ssu_table,2026-08-22T21:45:04
MGYS00006614,oral,ERP141818_taxonomy_abundances_SSU_v5.0.tsv,5.0,60,195,ok,2026-08-22T21:45:12
MGYS00006615,oral,ERP141857_taxonomy_abundances_SSU_v5.0.tsv,5.0,61,196,ok,2026-08-22T21:45:13
MGYS00006635,oral,ERP151145_taxonomy_abundances_SSU_v5.0.tsv,5.0,60,134,ok,2026-08-22T21:45:15
MGYS00002431,stool,ERP107086_taxonomy_abundances_SSU_v4.1.tsv,4.1,271,226,ok,2026-08-22T21:45:16
MGYS00003712,stool,ERP019674_taxonomy_abundances_SSU_v4.1.tsv,4.1,247,995,ok,2026-08-22T21:45:16
MGYS00006290,respiratory,SRP233398_taxonomy_abundances_SSU_v5.0.tsv,5.0,58,341,ok,2026-08-22T21:46:12
MGYS00006304,respiratory,ERP134910_taxonomy_abundances_SSU_v5.0.tsv,5.0,34,316,ok,2026-08-22T21:46:13
MGYS00006223,stool,SRP261866_taxonomy_abundances_SSU_v5.0.tsv,5.0,45,52,ok,2026-08-22T21:46:14
MGYS00006325,respiratory,,,0,0,no_ssu_table,2026-08-22T21:46:15
MGYS00005086,stool,ERP116046_taxonomy_abundances_SSU_v4.1.tsv,4.1,57,218,ok,2026-08-22T21:46:15
MGYS00005357,stool,,,0,0,no_ssu_table,2026-08-22T21:47:05
MGYS00006779,stool,ERP148332_taxonomy_abundances_SSU_v5.0.tsv,5.0,57,220,ok,2026-08-22T21:47:12
MGYS00002217,oral,SRP062418_taxonomy_abundances_SSU_v4.1.tsv,4.1,57,604,ok,2026-08-22T21:47:14
MGYS00006642,oral,ERP127229_taxonomy_abundances_SSU_v5.0.tsv,5.0,57,68,ok,2026-08-22T21:47:14
MGYS00005144,stool,ERP118185_taxonomy_abundances_SSU_v4.1.tsv,4.1,84,181,ok,2026-08-22T21:47:15
MGYS00005693,oral,ERP125117_taxonomy_abundances_SSU_v5.0.tsv,5.0,310,176,ok,2026-08-22T21:47:16
MGYS00000499,stool,ERP007244_taxonomy_abundances_v2.0.tsv,2.0,56,293,ok,2026-08-22T21:48:13
MGYS00006319,respiratory,SRP032759_taxonomy_abundances_SSU_v5.0.tsv,5.0,56,414,ok,2026-08-22T21:48:14
MGYS00003148,stool,ERP110943_taxonomy_abundances_SSU_v4.1.tsv,4.1,56,1613,ok,2026-08-22T21:48:15
MGYS00001832,respiratory,ERP005269_taxonomy_abundances_v3.0.tsv,3.0,56,643,ok,2026-08-22T21:48:15
MGYS00005694,oral,,,0,0,no_ssu_table,2026-08-22T21:48:16
