sample_id,study_accession,body_site,modality,source,pipeline
MGYS00000465:ERR695637,MGYS00000465,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654308,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654309,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654310,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654311,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654312,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654313,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654314,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654315,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654316,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654317,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654318,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654319,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654320,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654321,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654322,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654323,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654324,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654325,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654326,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654327,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654328,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654329,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654330,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654331,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654332,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654333,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654334,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654335,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654336,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654337,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654338,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654339,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654340,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654341,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654342,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654343,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654344,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654345,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654346,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654347,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654348,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654349,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654350,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654351,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654352,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654353,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654354,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654355,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654356,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654357,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654358,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654359,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654360,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654361,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654362,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000499:ERR654363,MGYS00000499,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664360,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664361,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664362,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664363,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664364,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664365,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664366,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664367,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664368,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664369,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664370,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664371,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664372,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR664373,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000500:ERR669913,MGYS00000500,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866487,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866488,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866489,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866490,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866491,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866492,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866493,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866494,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866495,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866496,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866497,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866498,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866499,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866500,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866501,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866502,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866503,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866504,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866505,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866506,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866507,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866508,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866509,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866510,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866511,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866512,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866513,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866514,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866515,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866516,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866517,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866518,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866519,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866520,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866521,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866522,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866523,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866524,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866525,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866526,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866527,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866528,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866529,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866530,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866531,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866532,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866533,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866534,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866535,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866536,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866537,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866538,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866539,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866540,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866541,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866542,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866543,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866544,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866545,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866546,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866547,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866548,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866549,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866550,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866551,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866552,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866553,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866554,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866555,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866556,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866557,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866558,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866559,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866560,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866561,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866562,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866563,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866564,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866565,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866566,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866567,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866568,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866569,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866570,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866571,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866572,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866573,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866574,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866575,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866576,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866577,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866578,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866579,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866580,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866581,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866582,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866583,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866584,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866585,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866586,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866587,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866588,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866589,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866590,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866591,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866592,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866593,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866594,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866595,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866596,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866597,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866598,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866599,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866600,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866601,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866602,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
MGYS00000502:ERR866603,MGYS00000502,stool,16S,MGnify_full,MGnify SSU
